Data Ora;348 [°C];348 [m/s];261 [°C];261 [m/s];590 [°C];590 [m/s];154 [°C];154 [m/s];789 [°C];789 [m/s];
01.12.2022 10:42:03;---;---;---;---;---;1,10;---;0,89;---;0,95;
01.12.2022 10:42:04;9,5;1,04;9,5;0,95;9,4;0,96;9,4;0,78;9,4;---;
01.12.2022 10:42:05;9,5;0,93;9,4;0,94;9,4;0,89;9,4;0,62;9,4;0,75;
01.12.2022 10:42:06;9,5;0,64;9,4;0,88;9,4;0,81;9,4;0,65;9,4;---;
01.12.2022 10:42:07;9,5;0,79;9,4;0,85;9,3;0,90;9,4;0,73;9,4;0,73;
01.12.2022 10:42:08;9,5;0,87;9,4;0,83;9,3;0,87;9,4;0,69;9,4;0,74;
01.12.2022 10:42:09;9,5;0,90;9,4;0,84;9,3;0,91;9,4;0,63;9,4;0,78;
01.12.2022 10:42:10;9,5;0,89;9,4;0,90;9,3;0,85;9,4;0,65;9,4;0,74;
01.12.2022 10:42:11;9,5;0,74;9,4;0,82;9,3;0,87;9,4;0,63;9,4;0,81;
01.12.2022 10:42:12;9,5;0,75;9,4;0,88;9,3;0,67;9,4;0,51;9,4;0,60;
01.12.2022 10:42:13;9,5;0,65;9,4;0,69;9,3;0,71;9,4;0,64;9,4;0,63;
01.12.2022 10:42:14;9,4;0,92;9,4;0,77;9,3;0,91;9,3;0,66;9,3;0,82;
01.12.2022 10:42:15;9,4;0,97;9,3;0,92;9,2;1,00;9,3;0,66;9,3;0,78;
01.12.2022 10:42:16;9,4;0,95;9,3;0,71;9,2;0,82;9,3;0,79;9,3;0,62;
01.12.2022 10:42:17;9,4;0,95;9,3;0,65;9,2;0,87;9,3;0,72;9,3;0,72;
01.12.2022 10:42:18;9,4;0,86;9,3;0,72;9,3;0,59;9,3;0,55;9,3;0,54;
01.12.2022 10:42:19;9,4;0,51;9,4;0,56;9,3;0,18;9,4;0,25;9,4;0,22;
01.12.2022 10:42:20;9,5;0,29;9,4;0,19;9,4;0,19;9,4;0,22;9,4;0,19;
01.12.2022 10:42:21;9,5;0,30;9,5;0,20;9,4;0,17;9,5;0,20;---;---;
01.12.2022 10:42:22;9,6;0,29;9,5;0,17;9,4;0,22;9,5;0,23;9,5;0,20;
01.12.2022 10:42:23;9,6;0,36;9,5;0,36;9,4;0,23;9,5;0,14;9,5;0,29;
01.12.2022 10:42:24;9,6;0,39;9,5;0,36;9,4;0,30;9,5;---;9,5;---;
01.12.2022 10:42:25;9,6;0,42;9,5;0,34;9,4;0,40;9,5;0,19;9,5;0,40;
01.12.2022 10:42:26;9,6;0,47;9,6;0,37;9,4;0,30;9,5;0,28;9,5;0,29;
01.12.2022 10:42:27;9,6;0,57;9,6;0,46;9,4;0,64;9,5;0,51;9,5;0,52;
01.12.2022 10:42:28;9,6;0,78;9,5;0,79;9,4;0,75;9,5;0,54;9,5;---;
01.12.2022 10:42:29;9,5;0,96;9,5;0,74;9,4;0,64;9,5;0,61;9,5;0,42;
01.12.2022 10:42:30;9,5;0,92;9,5;0,37;9,4;0,57;9,5;0,52;9,5;---;
01.12.2022 10:42:31;9,5;0,70;9,5;0,65;9,4;0,64;9,5;0,41;9,5;0,55;
01.12.2022 10:42:32;9,5;0,63;9,5;0,76;9,4;0,68;9,5;0,40;9,5;0,57;
01.12.2022 10:42:33;9,5;0,72;9,5;0,61;9,4;0,62;9,5;0,46;9,5;0,53;
01.12.2022 10:42:34;9,5;0,89;9,5;0,81;9,4;0,89;9,5;0,64;9,4;0,76;
