Data Ora;348 [°C];348 [m/s];261 [°C];261 [m/s];590 [°C];590 [m/s];154 [°C];154 [m/s];789 [°C];789 [m/s];
01.12.2022 11:10:58;9,5;0,06;9,4;0,11;9,4;0,08;9,5;0,06;9,4;0,06;
01.12.2022 11:10:59;9,5;0,11;9,4;0,12;---;---;---;0,12;9,4;0,10;
01.12.2022 11:11:00;9,5;0,09;9,4;0,17;9,4;0,11;9,5;0,10;9,4;0,06;
01.12.2022 11:11:01;9,5;0,12;---;0,13;9,4;0,05;9,5;0,07;9,4;0,09;
01.12.2022 11:11:02;9,5;0,08;9,4;0,10;9,4;---;---;0,06;9,5;0,03;
01.12.2022 11:11:03;9,5;0,13;---;0,07;9,4;0,10;9,5;0,10;9,5;0,05;
01.12.2022 11:11:04;9,5;0,13;9,4;0,10;9,4;0,13;9,5;0,06;9,5;0,09;
01.12.2022 11:11:05;9,5;0,11;9,4;0,10;9,4;0,21;9,5;0,07;9,4;0,13;
01.12.2022 11:11:06;9,5;0,18;9,4;0,20;9,4;0,23;9,5;0,04;9,4;0,22;
01.12.2022 11:11:07;9,5;0,23;9,4;0,20;9,4;0,25;9,5;0,11;9,4;0,21;
01.12.2022 11:11:08;9,4;0,31;9,4;0,22;9,3;0,31;9,5;0,22;9,4;0,23;
01.12.2022 11:11:09;9,4;0,37;---;0,23;9,3;0,35;9,5;0,26;9,4;0,29;
01.12.2022 11:11:10;9,4;0,36;9,4;0,31;9,3;0,35;9,4;0,31;9,3;0,33;
01.12.2022 11:11:11;9,3;0,41;9,3;0,36;9,3;0,42;---;0,34;9,3;0,37;
01.12.2022 11:11:12;9,3;0,42;---;0,38;9,3;0,40;9,4;0,37;9,3;0,40;
01.12.2022 11:11:13;9,3;0,44;9,3;0,40;9,3;0,40;9,4;0,35;9,3;0,35;
01.12.2022 11:11:14;9,3;0,50;9,2;0,43;9,2;0,53;9,4;0,37;9,3;0,42;
01.12.2022 11:11:15;9,2;0,58;---;0,51;9,2;0,63;9,4;0,42;9,2;0,49;
01.12.2022 11:11:16;9,2;0,77;9,2;0,60;9,1;0,93;9,3;0,50;9,2;0,62;
01.12.2022 11:11:17;9,2;0,83;9,1;0,95;9,1;0,94;9,3;0,54;9,1;0,85;
01.12.2022 11:11:18;9,1;1,02;9,1;0,97;9,0;1,04;9,2;0,77;9,1;0,86;
01.12.2022 11:11:19;9,1;1,18;---;0,98;9,0;1,22;9,2;0,91;9,1;0,97;
01.12.2022 11:11:20;9,0;1,09;9,0;1,16;9,0;1,07;9,1;0,96;9,0;0,98;
01.12.2022 11:11:21;9,0;1,07;9,0;1,00;9,0;1,15;9,1;0,88;9,0;0,93;
01.12.2022 11:11:22;9,0;1,15;---;1,08;8,9;1,25;9,1;0,87;9,0;1,03;
01.12.2022 11:11:23;9,0;1,27;9,0;1,27;8,9;1,34;9,1;0,98;8,9;1,17;
01.12.2022 11:11:24;8,9;1,25;8,9;1,30;8,9;1,32;9,0;1,02;8,9;1,16;
01.12.2022 11:11:25;8,9;1,23;8,9;1,25;8,9;1,29;9,0;1,00;8,9;1,12;
01.12.2022 11:11:26;8,9;1,21;8,9;1,23;8,9;1,27;9,0;1,02;8,9;1,12;
01.12.2022 11:11:27;8,9;1,21;8,9;1,22;8,9;1,28;9,0;0,97;8,9;1,11;
01.12.2022 11:11:28;8,9;1,23;8,9;1,22;8,8;1,30;9,0;0,99;8,9;1,10;
01.12.2022 11:11:29;8,9;1,33;---;1,23;8,8;1,38;9,0;1,06;8,9;1,17;
01.12.2022 11:11:30;8,9;1,34;8,9;1,29;8,8;1,40;9,0;1,13;8,9;1,20;
01.12.2022 11:11:31;8,9;1,39;8,9;1,32;8,8;1,43;9,0;1,16;8,9;1,21;
01.12.2022 11:11:32;8,9;1,29;---;1,30;8,8;1,36;9,0;1,11;8,9;1,21;
01.12.2022 11:11:33;8,9;1,24;8,9;1,27;8,8;1,26;9,0;1,06;8,9;1,16;
01.12.2022 11:11:34;8,9;1,29;8,9;1,26;8,8;1,37;9,0;1,06;8,9;1,14;
01.12.2022 11:11:35;8,9;1,30;---;1,33;8,8;1,37;9,0;1,02;8,9;1,15;
01.12.2022 11:11:36;8,9;1,26;8,9;1,29;8,8;1,27;9,0;1,06;8,9;1,14;
01.12.2022 11:11:37;8,9;1,12;8,9;1,26;8,9;1,26;9,0;0,96;8,9;1,07;
