Data Ora;154 [°C];154 [m/s];590 [°C];590 [m/s];150 [°C];150 [m/s];789 [°C];789 [m/s];261 [°C];261 [m/s];348 [°C];348 [m/s];
14.12.2022 16:36:18;1,3;0,27;---;---;---;0,17;---;---;---;---;---;---;
14.12.2022 16:36:19;1,3;0,22;1,1;0,32;0,8;0,17;1,4;0,10;1,2;0,23;1,4;0,32;
14.12.2022 16:36:20;1,3;0,15;1,1;0,22;0,8;0,18;1,4;0,12;1,2;0,20;1,4;0,34;
14.12.2022 16:36:21;1,3;0,13;1,1;0,15;0,8;0,07;1,4;0,09;1,2;0,13;1,4;0,42;
14.12.2022 16:36:22;1,3;0,11;1,2;0,14;0,8;0,04;1,4;0,06;1,2;0,11;---;0,34;
14.12.2022 16:36:23;1,3;0,10;1,2;0,11;0,8;0,04;1,4;0,07;1,2;0,10;1,4;0,41;
14.12.2022 16:36:24;1,3;0,11;1,2;0,12;0,8;0,08;1,4;0,04;1,2;0,12;---;0,47;
14.12.2022 16:36:25;1,3;0,12;1,2;0,14;0,8;0,17;1,4;0,06;1,2;0,15;1,4;0,57;
14.12.2022 16:36:26;1,3;0,12;1,2;0,15;0,8;0,10;1,4;0,07;1,2;0,14;1,4;0,71;
14.12.2022 16:36:27;1,3;0,10;1,2;0,15;0,8;0,10;1,4;0,05;1,2;0,13;1,4;0,48;
14.12.2022 16:36:28;1,3;0,11;1,2;0,13;0,8;0,13;1,4;0,06;1,2;0,14;1,4;0,38;
14.12.2022 16:36:29;1,3;0,12;1,2;0,13;0,8;0,07;1,4;0,06;1,2;0,12;1,4;0,29;
14.12.2022 16:36:30;1,3;0,15;1,2;0,13;0,8;0,19;1,4;0,05;1,2;0,12;1,4;0,34;
14.12.2022 16:36:31;1,3;0,10;1,2;0,13;0,8;0,16;1,4;0,07;1,2;0,14;1,4;0,23;
14.12.2022 16:36:32;1,3;0,09;1,1;0,13;0,8;0,13;1,4;0,07;1,2;0,13;1,4;0,22;
14.12.2022 16:36:33;1,3;0,08;1,1;0,14;0,8;0,05;1,4;0,05;1,2;0,12;1,4;0,23;
14.12.2022 16:36:34;1,3;0,08;1,1;0,14;0,8;0,07;1,4;0,03;1,2;0,10;1,4;0,39;
14.12.2022 16:36:35;1,3;0,10;1,1;0,11;0,8;0,04;1,4;0,05;1,2;0,10;1,4;0,36;
14.12.2022 16:36:36;1,3;0,11;1,1;0,12;0,8;0,05;1,4;0,07;1,2;0,13;1,4;0,40;
14.12.2022 16:36:37;1,3;0,10;1,2;0,13;0,8;0,09;1,4;0,06;1,2;0,13;1,4;0,35;
14.12.2022 16:36:38;1,3;0,11;1,2;0,13;0,8;0,25;1,4;0,09;1,2;0,28;1,4;0,27;
14.12.2022 16:36:39;1,3;0,08;1,1;0,16;0,8;0,49;1,4;0,09;1,2;0,33;1,4;0,36;
14.12.2022 16:36:40;1,3;0,12;1,2;0,15;0,8;0,48;1,4;0,09;1,2;0,36;1,4;0,31;
14.12.2022 16:36:41;1,3;0,22;1,1;0,15;0,8;0,59;1,3;0,16;1,2;0,47;1,4;0,33;
14.12.2022 16:36:42;1,3;0,13;1,1;0,19;0,8;0,17;1,3;0,09;1,2;0,18;1,4;0,67;
14.12.2022 16:36:43;1,3;0,14;1,1;0,17;0,8;0,11;1,4;0,07;1,2;0,16;---;0,73;
14.12.2022 16:36:44;1,3;0,13;1,1;0,16;0,8;0,11;1,4;0,10;1,2;0,17;1,4;0,43;
14.12.2022 16:36:45;1,3;0,13;1,1;0,17;0,8;0,14;1,4;0,12;1,2;0,16;1,4;0,44;
14.12.2022 16:36:46;1,3;0,15;1,1;0,15;0,8;0,16;1,4;0,10;1,2;0,15;1,4;0,60;
14.12.2022 16:36:47;1,3;0,25;1,1;0,23;0,8;0,37;1,4;0,17;1,2;0,29;1,4;0,29;
14.12.2022 16:36:48;1,3;0,40;1,1;0,63;0,8;0,40;1,3;0,23;1,2;0,55;1,4;0,25;
14.12.2022 16:36:49;1,2;0,74;1,1;0,55;0,8;0,60;1,3;0,47;1,2;0,92;1,4;0,21;
14.12.2022 16:36:50;1,2;1,28;1,1;1,04;0,8;0,88;1,3;0,79;1,2;1,03;1,4;0,23;
14.12.2022 16:36:51;1,2;1,35;1,1;1,57;0,8;1,09;1,3;1,01;1,1;1,44;1,4;0,24;
14.12.2022 16:36:52;1,2;1,34;1,1;1,63;0,8;1,35;1,2;1,15;1,1;1,76;1,4;0,22;
14.12.2022 16:36:53;1,1;1,46;1,0;1,65;0,8;1,10;1,2;1,30;1,1;1,66;1,4;0,16;
14.12.2022 16:36:54;1,1;1,73;1,0;2,00;0,8;1,34;1,2;1,69;1,1;1,94;1,4;0,19;
14.12.2022 16:36:55;1,1;1,91;1,0;2,25;0,7;1,61;1,2;1,94;1,0;2,29;1,4;0,19;
14.12.2022 16:36:56;1,1;1,91;1,0;2,58;0,7;1,53;1,1;1,98;1,0;2,11;1,4;0,19;
14.12.2022 16:36:57;1,1;1,84;1,0;2,42;0,7;1,57;1,1;2,05;1,0;2,15;---;0,18;
14.12.2022 16:36:58;1,1;1,78;1,0;2,31;0,7;1,43;1,1;1,83;1,0;1,80;1,4;0,14;
14.12.2022 16:36:59;1,1;1,77;1,0;2,22;0,7;1,24;1,1;1,47;1,0;1,74;1,4;0,15;
14.12.2022 16:37:00;1,1;---;1,0;1,95;0,7;1,34;1,1;1,42;1,0;1,75;1,4;0,14;
14.12.2022 16:37:01;1,1;1,12;1,0;1,65;0,7;1,10;1,2;1,17;1,0;1,43;1,4;0,19;
14.12.2022 16:37:02;1,1;0,66;1,0;1,20;0,7;0,54;1,2;0,84;1,1;1,00;1,4;0,16;
14.12.2022 16:37:03;1,1;0,77;1,0;0,84;0,7;0,65;1,2;0,66;1,1;0,70;1,4;0,14;
14.12.2022 16:37:04;1,1;0,37;---;0,95;0,8;0,69;1,2;0,42;1,1;0,80;1,4;0,18;
14.12.2022 16:37:05;1,2;0,15;1,0;0,72;0,8;0,71;1,2;0,60;1,1;1,17;1,4;0,22;
14.12.2022 16:37:06;1,2;---;1,0;0,19;0,8;0,49;1,2;0,21;1,1;0,38;1,3;0,43;
14.12.2022 16:37:07;1,2;0,17;1,1;0,21;0,8;0,23;1,2;0,17;1,1;0,24;1,3;0,35;
14.12.2022 16:37:08;1,2;0,09;1,1;0,14;0,8;0,23;1,2;0,11;1,1;0,29;1,3;0,47;
14.12.2022 16:37:09;1,2;0,32;1,1;0,26;0,7;0,58;1,2;0,30;1,0;0,39;1,3;0,33;
14.12.2022 16:37:10;1,2;0,84;1,0;0,38;0,7;0,41;1,2;0,33;1,0;0,98;1,3;0,34;
14.12.2022 16:37:11;1,1;0,32;1,0;0,36;0,7;0,19;1,2;0,15;1,0;0,22;1,3;1,30;
14.12.2022 16:37:12;1,1;0,20;1,0;0,22;0,7;0,32;1,2;0,12;1,1;0,25;1,3;1,89;
14.12.2022 16:37:13;1,1;0,18;1,1;0,21;0,7;0,24;1,2;0,14;1,1;0,23;1,3;1,49;
14.12.2022 16:37:14;1,1;0,17;1,1;0,23;0,7;0,20;1,3;0,12;1,0;0,51;1,3;1,87;
14.12.2022 16:37:15;1,1;0,17;1,1;0,21;0,7;0,15;1,3;0,11;1,1;0,22;1,3;1,28;
