Data Ora;789 [°C];789 [m/s];261 [°C];261 [m/s];590 [°C];590 [m/s];154 [°C];154 [m/s];150 [°C];150 [m/s];348 [°C];348 [m/s];,,,,,,,,,,,,
16.12.2022 11:39:43;4,6;0,00;---;---;---;---;---;---;---;0,00;4,0;0,00;,,,,,,,
16.12.2022 11:39:44;4,6;0,00;3,3;0,41;1,8;0,25;2,3;0,24;2,3;0,00;4,0;0,00;
16.12.2022 11:39:45;4,6;0,00;3,3;0,43;1,8;0,24;2,3;0,22;2,3;0,00;4,0;0,00;
16.12.2022 11:39:46;4,6;0,00;3,2;0,44;1,9;0,25;2,3;0,21;2,3;0,00;4,0;0,00;
16.12.2022 11:39:47;4,6;0,00;3,2;0,41;1,9;0,22;2,3;0,24;2,3;0,00;4,0;0,00;
16.12.2022 11:39:48;4,6;0,00;3,2;0,38;1,9;0,19;2,3;0,27;2,3;0,00;4,0;0,00;
16.12.2022 11:39:49;4,7;0,00;3,2;0,40;1,9;0,21;2,3;0,27;2,3;0,00;4,0;0,00;
16.12.2022 11:39:50;4,7;0,00;3,2;0,35;1,9;0,22;2,3;0,27;2,3;0,00;4,0;0,00;
16.12.2022 11:39:51;4,7;0,00;3,3;0,31;1,9;0,21;2,3;0,27;2,3;0,00;4,0;0,00;
16.12.2022 11:39:52;4,7;0,00;3,3;0,26;1,9;0,24;2,3;0,30;2,3;0,00;4,0;0,00;
16.12.2022 11:39:53;4,7;0,00;3,3;0,28;1,9;0,27;2,3;0,30;2,4;0,00;4,0;0,00;
16.12.2022 11:39:54;4,7;0,00;3,3;0,27;1,9;0,28;2,3;0,29;2,4;0,00;4,0;0,00;
16.12.2022 11:39:55;4,7;0,00;3,3;0,30;1,9;0,29;2,3;0,23;2,4;0,00;4,0;0,00;
16.12.2022 11:39:56;4,7;0,00;3,4;0,28;1,9;0,36;2,3;0,22;2,4;0,00;4,0;0,00;
16.12.2022 11:39:57;4,7;0,00;3,4;0,29;1,9;0,33;2,3;0,26;2,4;0,00;4,0;0,00;
16.12.2022 11:39:58;4,7;0,00;3,4;0,28;1,9;0,32;2,3;0,33;2,4;0,00;4,0;0,01;
16.12.2022 11:39:59;4,7;0,02;3,4;0,32;2,0;0,34;2,3;0,35;2,4;0,00;4,0;0,06;
16.12.2022 11:40:00;4,7;0,00;3,4;0,37;1,9;0,37;2,3;0,32;2,4;0,00;4,0;0,08;
16.12.2022 11:40:01;4,7;0,00;3,4;0,35;1,9;0,40;2,3;0,32;2,4;0,00;4,0;0,05;
16.12.2022 11:40:02;4,7;0,00;3,4;0,33;1,9;0,44;2,3;0,32;2,4;0,00;4,0;0,03;
