Data Ora;154 [°C];154 [m/s];590 [°C];590 [m/s];150 [°C];150 [m/s];789 [°C];789 [m/s];261 [°C];261 [m/s];348 [°C];348 [m/s];,,,,,,,,,,,,
12.12.2022 11:40:24;1,4;0,42;---;0,38;---;---;1,5;0,43;1,6;0,53;1,7;0,57;,,,
12.12.2022 11:40:25;1,4;0,40;1,7;0,38;3,0;0,00;1,5;0,48;1,5;0,61;1,7;0,52;
12.12.2022 11:40:26;1,4;0,37;1,7;0,53;2,9;0,03;1,5;0,54;1,5;0,58;1,7;0,48;
12.12.2022 11:40:27;1,4;---;1,6;0,50;2,9;0,00;1,5;0,54;1,6;0,54;1,7;0,57;,
12.12.2022 11:40:28;1,4;0,45;1,6;0,55;2,9;0,00;1,5;0,53;1,6;0,51;1,7;0,62;
12.12.2022 11:40:29;1,4;0,38;1,6;0,50;2,9;0,00;1,5;0,55;1,6;0,52;1,6;0,61;
12.12.2022 11:40:30;1,4;0,36;1,6;0,59;2,9;0,00;1,5;0,51;1,5;0,52;1,6;0,58;
12.12.2022 11:40:31;1,4;0,29;1,6;0,55;2,9;0,00;1,5;0,45;1,5;0,50;1,7;0,55;
12.12.2022 11:40:32;1,4;---;1,6;0,53;2,9;0,00;1,5;0,49;1,5;0,49;1,7;0,52;,
12.12.2022 11:40:33;1,5;0,37;1,6;0,50;2,9;0,00;1,5;0,56;1,6;0,50;1,7;0,58;
12.12.2022 11:40:34;1,5;---;1,6;0,55;2,9;0,00;1,5;0,60;1,5;0,54;1,7;0,45;,
12.12.2022 11:40:35;1,5;0,35;1,6;0,61;2,9;0,00;1,5;0,52;1,5;0,62;1,7;0,52;
12.12.2022 11:40:36;1,5;---;1,6;0,61;2,9;0,00;1,5;0,52;1,5;0,57;1,7;0,55;,
12.12.2022 11:40:37;1,5;0,32;1,6;0,50;2,9;0,00;1,5;0,46;1,5;0,59;1,7;0,55;
12.12.2022 11:40:38;1,5;0,36;1,6;0,51;2,9;0,00;1,5;0,43;1,5;0,44;1,7;0,53;
12.12.2022 11:40:39;1,5;0,42;1,6;0,49;2,9;0,01;1,5;0,40;1,6;0,31;1,7;0,55;
12.12.2022 11:40:40;1,5;0,36;1,6;0,51;2,9;0,00;1,6;0,43;1,6;0,44;1,7;0,48;
12.12.2022 11:40:41;1,5;0,41;1,6;0,58;2,9;0,00;1,6;0,50;1,6;0,44;1,7;0,41;
12.12.2022 11:40:42;1,5;0,45;1,6;0,64;2,9;0,01;1,5;0,58;1,6;0,62;1,7;0,46;
12.12.2022 11:40:43;---;---;1,6;0,71;2,9;0,00;1,5;0,65;1,5;0,66;1,7;0,68;,,
12.12.2022 11:40:44;1,4;0,58;1,6;0,77;2,9;0,00;1,5;0,60;1,5;0,60;1,7;0,69;
12.12.2022 11:40:45;1,4;0,42;1,5;0,70;2,9;0,00;1,5;0,53;1,6;0,51;1,7;0,59;
12.12.2022 11:40:46;1,4;---;1,6;0,62;2,8;0,01;1,5;0,49;1,6;0,48;1,7;0,54;,
